Начальная станция; Конечная станция; УП; Вес;
ГОНЧАРОВО-ИРКУТСК-СОРТИРОВОЧНЫЙ; ГОНЧАРОВО — ИРКУТСК-СОРТИРОВОЧНЫЙ;5;
ВОЕННЫЙ ГОРОДОК-ИРКУТСК-СОРТИРОВОЧНЫЙ; ВОЕННЫЙ ГОРОДОК — ИРКУТСК-СОРТИРОВОЧНЫЙ;1;
ИРКУТСК-ПАССАЖИРСКИЙ-ВОЕННЫЙ ГОРОДОК; ИРКУТСК-ПАССАЖИРСКИЙ — ВОЕННЫЙ ГОРОДОК;1;
КАЯ-ИРКУТСК-ПАССАЖИРСКИЙ; КАЯ — ИРКУТСК-ПАССАЖИРСКИЙ;1;
ГОНЧАРОВО-КАЯ; ГОНЧАРОВО — КАЯ;2;
БОЛЬШОЙ ЛУГ-ГОНЧАРОВО; БОЛЬШОЙ ЛУГ — ГОНЧАРОВО;1;
ПЕРЕВАЛ-КАЗАНКАН; ПЕРЕВАЛ — КАЗАНКАН;1;
ТАКСИМО-КАЗАНКАН; ТАКСИМО — КАЗАНКАН;1;
РАЗЪЕЗД 557 КМ-КАНЗЫБА; РАЗЪЕЗД 557 КМ — КАНЗЫБА;1;
ЧУНОЯР-КАРАБУЛА; ЧУНОЯР — КАРАБУЛА;1;
ЧИТА I-КАРЫМСКАЯ; ЧИТА I — КАРЫМСКАЯ;1;
ПЕТРОВСКИЙ ЗАВОД-КИЖА; ПЕТРОВСКИЙ ЗАВОД — КИЖА;1;
УЯР-КИЛЬЧУГ; УЯР — КИЛЬЧУГ;3;
КУНЕРМА-КИРЕНГА; КУНЕРМА — КИРЕНГА;1;
МАЛЬТА-КИТОЙ; МАЛЬТА — КИТОЙ;1;
КАСЬЯНОВКА-МАЛЬТА; КАСЬЯНОВКА — МАЛЬТА;1;
ЧЕРЕМХОВО-КАСЬЯНОВКА; ЧЕРЕМХОВО — КАСЬЯНОВКА;1;
МАКАРЬЕВО-ЧЕРЕМХОВО; МАКАРЬЕВО — ЧЕРЕМХОВО;1;
ЗАЛАРИ-ЧЕРЕМХОВО; ЗАЛАРИ — ЧЕРЕМХОВО;1;
ЗИМА-ЗАЛАРИ; ЗИМА — ЗАЛАРИ;1;
ДУБИНИНО-КИЯ-ШАЛТЫРЬ; ДУБИНИНО — КИЯ-ШАЛТЫРЬ;1;
РЕШОТЫ-КЛЮЧИ; РЕШОТЫ — КЛЮЧИ;1;
ЮРТЫ-КЛЮЧИ; ЮРТЫ — КЛЮЧИ;1;
ДЗЕМГИ-КОМСОМОЛЬСК-НА-АМУРЕ; ДЗЕМГИ — КОМСОМОЛЬСК-НА-АМУРЕ;1;
КОМСОМОЛЬСК-НА-АМУРЕ II-КОМСОМОЛЬСК-НА-АМУРЕ; КОМСОМОЛЬСК-НА-АМУРЕ II — КОМСОМОЛЬСК-НА-АМУРЕ;1;
ЭВОРОН-КОМСОМОЛЬСК-НА-АМУРЕ II; ЭВОРОН — КОМСОМОЛЬСК-НА-АМУРЕ II;1;
СЕЛИХИН-КОМСОМОЛЬСК-НА-АМУРЕ-СОРТИРОВОЧНЫЙ; СЕЛИХИН — КОМСОМОЛЬСК-НА-АМУРЕ-СОРТИРОВОЧНЫЙ;1;
КОМСОМОЛЬСК-НА-АМУРЕ-КОМСОМОЛЬСК-НА-АМУРЕ-СОРТИРОВОЧНЫЙ; КОМСОМОЛЬСК-НА-АМУРЕ — КОМСОМОЛЬСК-НА-АМУРЕ-СОРТИРОВОЧНЫЙ;1;
МЫЛКИ-КОМСОМОЛЬСК-НА-АМУРЕ-СОРТИРОВОЧНЫЙ; МЫЛКИ — КОМСОМОЛЬСК-НА-АМУРЕ-СОРТИРОВОЧНЫЙ;1;
СЕЛЬГОН-МЫЛКИ; СЕЛЬГОН — МЫЛКИ;1;
ГИДРОСТРОИТЕЛЬ-КОРШУНИХА-АНГАРСКАЯ; ГИДРОСТРОИТЕЛЬ — КОРШУНИХА-АНГАРСКАЯ;1;
ПАДУНСКИЕ ПОРОГИ-ГИДРОСТРОИТЕЛЬ; ПАДУНСКИЕ ПОРОГИ — ГИДРОСТРОИТЕЛЬ;1;
ГАЛАЧИНСКИЙ-ПАДУНСКИЕ ПОРОГИ; ГАЛАЧИНСКИЙ — ПАДУНСКИЕ ПОРОГИ;1;
БРАТСК-ГАЛАЧИНСКИЙ; БРАТСК — ГАЛАЧИНСКИЙ;1;
БАГУЛЬНАЯ-БРАТСК; БАГУЛЬНАЯ — БРАТСК;1;
МОРГУДОН-БАГУЛЬНАЯ; МОРГУДОН — БАГУЛЬНАЯ;2;
ВИХОРЕВКА-МОРГУДОН; ВИХОРЕВКА — МОРГУДОН;1;
ГАЛАЧИНСКИЙ-МОРГУДОН; ГАЛАЧИНСКИЙ — МОРГУДОН;1;
ЩЕТИНКИНО-КОШУРНИКОВО; ЩЕТИНКИНО — КОШУРНИКОВО;1;
НАЗАРОВО-КРАСНАЯ СОПКА; НАЗАРОВО — КРАСНАЯ СОПКА;1;
УЛУЙ-НАЗАРОВО; УЛУЙ — НАЗАРОВО;1;
УЖУР-КРАСНАЯ СОПКА; УЖУР — КРАСНАЯ СОПКА;1;
